"BusinessYear","StateCode","IssuerId","SourceName","VersionNum","ImportDate","IssuerId2","TIN","ProductId","StandardComponentId","EnrolleeContractRateDeterminationRule","TwoParentFamilyMaxDependentsRule","SingleParentFamilyMaxDependentsRule","DependentMaximumAgRule","ChildrenOnlyContractMaxChildrenRule","DomesticPartnerAsSpouseIndicator","SameSexPartnerAsSpouseIndicator","AgeDeterminationRule","MinimumTobaccoFreeMonthsRule","CohabitationRule","RowNumber","MarketCoverage","DentalOnlyPlan"
"2016","AK","21989","HIOS","4","2015-08-22 15:09:32","21989","93-0438772","21989AK008","21989AK0080001","There are rates specifically for couples and for families (not just addition of individual rates)","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,Yes;Adopted Child,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes","14","SHOP (Small Group)","Yes"
"2016","AK","21989","HIOS","4","2015-08-22 15:09:32","21989","93-0438772","21989AK008","21989AK0080002","There are rates specifically for couples and for families (not just addition of individual rates)","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,Yes;Adopted Child,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes","14","SHOP (Small Group)","Yes"
"2016","AK","38344","HIOS","10","2015-08-25 05:06:23","38344","91-0499247","38344AK102","38344AK1020001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","Not Applicable","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Grandson or Granddaughter,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Dependent on a Minor Dependent,No;Guardian,No;Court Appointed Guardian,No;Life Partner,No","11","SHOP (Small Group)","Yes"
"2016","AK","45858","HIOS","1","2015-05-01 02:23:41","45858","47-0098400","45858AK003","45858AK0030001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","21","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Stepson or Stepdaughter,No;Child,No;Sponsored Dependent,No;Life Partner,No","10","SHOP (Small Group)","Yes"
"2016","AK","45858","HIOS","1","2015-05-01 02:23:41","45858","47-0098400","45858AK003","45858AK0030002","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","21","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Stepson or Stepdaughter,No;Child,No;Sponsored Dependent,No;Life Partner,No","10","SHOP (Small Group)","Yes"
"2016","AK","45858","HIOS","1","2015-05-01 02:23:41","45858","47-0098400","45858AK004","45858AK0040001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","21","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Stepson or Stepdaughter,No;Child,No;Sponsored Dependent,No;Life Partner,No","10","SHOP (Small Group)","Yes"
"2016","AK","45858","HIOS","1","2015-05-01 02:23:41","45858","47-0098400","45858AK004","45858AK0040002","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","21","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Stepson or Stepdaughter,No;Child,No;Sponsored Dependent,No;Life Partner,No","10","SHOP (Small Group)","Yes"
"2016","AK","47904","HIOS","2","2015-07-10 02:19:03","47904","47-0397286","47904AK007","47904AK0070001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","23","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,Yes;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes","10","Individual","Yes"
"2016","AK","47904","HIOS","2","2015-07-10 02:19:03","47904","47-0397286","47904AK007","47904AK0070002","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","23","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,Yes;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes","10","Individual","Yes"
"2016","AK","47904","HIOS","2","2015-07-10 02:19:03","47904","47-0397286","47904AK008","47904AK0080001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","23","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,Yes;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes","10","Individual","Yes"
"2016","AK","47904","HIOS","2","2015-07-10 02:19:03","47904","47-0397286","47904AK008","47904AK0080002","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","23","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,Yes;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes","10","Individual","Yes"
"2016","AK","47904","HIOS","2","2015-07-10 02:19:03","47904","47-0397286","47904AK009","47904AK0090001","There are rates specifically for couples and for families (not just addition of individual rates)","3 or more","3 or more","23","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,Yes;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes","11","SHOP (Small Group)","Yes"
"2016","AK","47904","HIOS","2","2015-07-10 02:19:03","47904","47-0397286","47904AK009","47904AK0090002","There are rates specifically for couples and for families (not just addition of individual rates)","3 or more","3 or more","23","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,Yes;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes","11","SHOP (Small Group)","Yes"
"2016","AK","58670","HIOS","2","2015-07-08 02:47:08","58670","57-0523959","58670AK002","58670AK0020001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","26","3 or more","No","No","Age on effective date","Not Applicable","Spouse,No;Adopted Child,Yes;Stepson or Stepdaughter,Yes;Self,Yes;Child,Yes;Court Appointed Guardian,Yes","10","SHOP (Small Group)","Yes"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK070","73836AK0700001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","17","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK070","73836AK0700002","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","17","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK070","73836AK0700003","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","17","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK070","73836AK0700004","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","17","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK070","73836AK0700005","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","17","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK070","73836AK0700006","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","17","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK070","73836AK0700007","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","17","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK070","73836AK0700008","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","17","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK070","73836AK0700009","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","17","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK070","73836AK0700010","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","17","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK071","73836AK0710002","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","20","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK071","73836AK0710003","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","20","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK071","73836AK0710004","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","20","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK071","73836AK0710006","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","20","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK071","73836AK0710007","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","20","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK071","73836AK0710008","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","20","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK075","73836AK0750001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","13","Individual","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK075","73836AK0750002","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","13","Individual","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK075","73836AK0750003","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","13","Individual","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK075","73836AK0750004","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","13","Individual","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK079","73836AK0790001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","15","Individual","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK079","73836AK0790002","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","15","Individual","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK080","73836AK0800001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","21","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK080","73836AK0800002","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","21","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK080","73836AK0800003","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","21","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK080","73836AK0800004","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","21","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK081","73836AK0810001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","19","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK081","73836AK0810002","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","19","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK082","73836AK0820001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","22","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK082","73836AK0820002","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","22","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK082","73836AK0820003","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","22","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK082","73836AK0820004","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","22","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK084","73836AK0840001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","14","Individual","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK085","73836AK0850001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","11","Individual","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK085","73836AK0850002","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","11","Individual","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK086","73836AK0860001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","12","Individual","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK086","73836AK0860002","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","12","Individual","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK088","73836AK0880001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","18","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK088","73836AK0880002","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","18","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK088","73836AK0880003","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","18","SHOP (Small Group)","No"
"2016","AK","73836","HIOS","4","2015-08-23 12:37:12","73836","93-0989307","73836AK088","73836AK0880004","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No;Life Partner,No","18","SHOP (Small Group)","No"
